,train,test
0,0.7123,0.754
1,0.8023,0.818
2,0.848,0.822
3,0.8805,0.822
4,0.9023,0.886
5,0.9118,0.886
6,0.9243,0.934
7,0.9388,0.91
8,0.9358,0.939
9,0.9498,0.935
10,0.9465,0.933
11,0.96,0.944
12,0.9593,0.946
13,0.9623,0.944
14,0.966,0.954
15,0.97,0.942
16,0.9693,0.956
17,0.9718,0.937
18,0.9763,0.956
19,0.9743,0.949
20,0.9793,0.955
21,0.977,0.95
22,0.9848,0.95
23,0.9825,0.955
24,0.9828,0.937
25,0.9853,0.959
26,0.9845,0.958
27,0.9763,0.954
28,0.9833,0.956
29,0.9885,0.961
