,train,test
0,0.613,0.751
1,0.7453,0.782
2,0.8283,0.905
3,0.9088,0.925
4,0.9205,0.943
5,0.9263,0.93
6,0.944,0.95
7,0.947,0.948
8,0.9533,0.95
9,0.9553,0.952
10,0.952,0.95
11,0.9548,0.946
12,0.9613,0.949
13,0.9628,0.954
14,0.9678,0.949
15,0.9628,0.959
16,0.9708,0.939
17,0.9785,0.947
18,0.9718,0.949
19,0.9765,0.958
20,0.976,0.95
21,0.9823,0.95
22,0.9815,0.952
23,0.98,0.963
24,0.9803,0.951
25,0.9773,0.953
26,0.9815,0.945
27,0.982,0.953
28,0.9825,0.946
29,0.9838,0.959
