,train,test
0,0.583,0.596
1,0.652,0.745
2,0.7543,0.801
3,0.823,0.869
4,0.8845,0.924
5,0.9163,0.921
6,0.9283,0.94
7,0.933,0.913
8,0.9448,0.947
9,0.9445,0.936
10,0.9495,0.944
11,0.9563,0.939
12,0.9558,0.942
13,0.9643,0.951
14,0.9658,0.959
15,0.9653,0.96
16,0.9678,0.948
17,0.9695,0.958
18,0.972,0.96
19,0.9713,0.959
20,0.9753,0.949
21,0.9763,0.957
22,0.976,0.955
23,0.9805,0.949
24,0.9815,0.964
25,0.9815,0.952
26,0.9823,0.957
27,0.9805,0.954
28,0.9845,0.958
29,0.9813,0.962
