,train,test
0,0.9125,0.964
1,0.962,0.974
2,0.9708,0.969
3,0.985,0.971
4,0.987,0.981
5,0.9865,0.97
6,0.987,0.979
7,0.9933,0.979
8,0.9898,0.968
9,0.9945,0.982
10,0.9978,0.976
11,0.997,0.974
12,0.991,0.982
13,0.9985,0.976
14,0.9953,0.976
15,0.9943,0.97
16,0.995,0.976
17,0.9935,0.96
18,0.9963,0.981
19,0.9993,0.985
20,0.9988,0.983
21,0.9983,0.982
22,0.9938,0.979
23,0.9958,0.977
24,0.9958,0.978
25,0.9985,0.954
26,0.996,0.977
27,0.9963,0.973
28,0.9955,0.985
29,0.9973,0.983
